['COUNTER', 'AF3', 'F7', 'F3', 'FC5', 'T7', 'P7', 'O1', 'O2', 'P8', 'T8', 'FC6', 'F4', 'F8', 'AF4', 'GYROX', 'GYROY', 'TIMESTAMP', 'FUNC_ID', 'FUNC_VALUE', 'MARKER', 'SYNC_SIGNAL']
33.0 , 3948.71794872 , 4352.82051282 , 4390.25641026 , 4191.79487179 , 4332.82051282 , 4533.84615385 , 4383.07692308 , 4170.76923077 , 4350.76923077 , 3818.46153846 , 3810.76923077 , 4287.69230769 , 4158.97435897 , 4303.07692308 , 1658.0 , 1698.0 , 10.686 , 0.0 , 0.0 , 0.0 , 0.0 , 

34.0 , 3949.23076923 , 4356.92307692 , 4386.15384615 , 4191.79487179 , 4332.30769231 , 4538.46153846 , 4383.07692308 , 4173.84615385 , 4352.30769231 , 3818.46153846 , 3808.71794872 , 4285.64102564 , 4161.02564103 , 4307.69230769 , 1659.0 , 1699.0 , 10.702 , 0.0 , 0.0 , 0.0 , 0.0 , 

35.0 , 3951.79487179 , 4358.97435897 , 4381.53846154 , 4190.76923077 , 4333.33333333 , 4534.35897436 , 4383.58974359 , 4173.84615385 , 4354.35897436 , 3818.46153846 , 3807.69230769 , 4283.07692308 , 4158.97435897 , 4309.74358974 , 1659.0 , 1698.0 , 10.702 , 0.0 , 0.0 , 0.0 , 0.0 , 

36.0 , 3953.33333333 , 4357.43589744 , 4381.02564103 , 4192.30769231 , 4335.38461538 , 4535.38461538 , 4382.56410256 , 4172.82051282 , 4353.33333333 , 3818.46153846 , 3809.74358974 , 4284.1025641 , 4158.97435897 , 4306.15384615 , 1660.0 , 1698.0 , 10.718 , 0.0 , 0.0 , 0.0 , 0.0 , 

37.0 , 3953.84615385 , 4356.41025641 , 4382.56410256 , 4192.82051282 , 4336.41025641 , 4535.8974359 , 4382.05128205 , 4171.28205128 , 4351.79487179 , 3818.46153846 , 3809.23076923 , 4284.1025641 , 4158.97435897 , 4303.58974359 , 1659.0 , 1698.0 , 10.718 , 0.0 , 0.0 , 0.0 , 0.0 , 

38.0 , 3954.35897436 , 4357.43589744 , 4383.58974359 , 4192.30769231 , 4336.41025641 , 4530.25641026 , 4383.07692308 , 4173.33333333 , 4354.87179487 , 3818.46153846 , 3807.17948718 , 4282.56410256 , 4158.97435897 , 4307.17948718 , 1658.0 , 1699.0 , 10.734 , 0.0 , 0.0 , 0.0 , 0.0 , 

39.0 , 3952.82051282 , 4352.30769231 , 4386.15384615 , 4192.82051282 , 4334.87179487 , 4526.66666667 , 4382.56410256 , 4176.92307692 , 4355.8974359 , 3818.46153846 , 3808.71794872 , 4286.66666667 , 4158.97435897 , 4307.69230769 , 1659.0 , 1697.0 , 10.734 , 0.0 , 0.0 , 0.0 , 0.0 , 

40.0 , 3948.71794872 , 4346.66666667 , 4390.25641026 , 4193.84615385 , 4331.79487179 , 4526.15384615 , 4382.56410256 , 4175.8974359 , 4352.30769231 , 3818.46153846 , 3810.25641026 , 4290.76923077 , 4157.94871795 , 4304.1025641 , 1659.0 , 1699.0 , 10.749 , 0.0 , 0.0 , 0.0 , 0.0 , 

41.0 , 3947.69230769 , 4348.71794872 , 4391.79487179 , 4192.82051282 , 4331.79487179 , 4529.23076923 , 4382.05128205 , 4173.84615385 , 4352.30769231 , 3818.46153846 , 3809.23076923 , 4288.71794872 , 4156.92307692 , 4304.1025641 , 1660.0 , 1698.0 , 10.749 , 0.0 , 0.0 , 0.0 , 0.0 , 

42.0 , 3948.71794872 , 4351.28205128 , 4391.79487179 , 4192.82051282 , 4334.87179487 , 4535.38461538 , 4382.56410256 , 4174.35897436 , 4353.84615385 , 3818.46153846 , 3808.71794872 , 4288.71794872 , 4157.94871795 , 4305.64102564 , 1658.0 , 1698.0 , 10.765 , 0.0 , 0.0 , 0.0 , 0.0 , 

43.0 , 3949.74358974 , 4349.23076923 , 4390.76923077 , 4194.35897436 , 4334.35897436 , 4534.35897436 , 4383.58974359 , 4175.38461538 , 4352.82051282 , 3818.46153846 , 3809.23076923 , 4290.76923077 , 4160.0 , 4304.1025641 , 1659.0 , 1699.0 , 10.765 , 0.0 , 0.0 , 0.0 , 0.0 , 

44.0 , 3951.28205128 , 4350.25641026 , 4391.28205128 , 4194.35897436 , 4333.33333333 , 4530.76923077 , 4384.61538462 , 4173.84615385 , 4351.79487179 , 3818.46153846 , 3809.23076923 , 4289.74358974 , 4160.0 , 4304.1025641 , 1659.0 , 1697.0 , 10.78 , 0.0 , 0.0 , 0.0 , 0.0 , 

45.0 , 3952.82051282 , 4352.82051282 , 4390.76923077 , 4194.35897436 , 4337.94871795 , 4534.87179487 , 4385.12820513 , 4172.30769231 , 4351.79487179 , 3818.46153846 , 3810.25641026 , 4286.66666667 , 4156.92307692 , 4306.15384615 , 1660.0 , 1698.0 , 10.78 , 0.0 , 0.0 , 0.0 , 0.0 , 

46.0 , 3953.84615385 , 4352.82051282 , 4389.23076923 , 4193.33333333 , 4337.43589744 , 4536.92307692 , 4386.15384615 , 4172.30769231 , 4350.76923077 , 3818.46153846 , 3809.23076923 , 4286.15384615 , 4156.41025641 , 4305.64102564 , 1659.0 , 1697.0 , 10.796 , 0.0 , 0.0 , 0.0 , 0.0 , 

47.0 , 3953.84615385 , 4351.79487179 , 4388.20512821 , 4192.82051282 , 4330.76923077 , 4525.64102564 , 4383.58974359 , 4173.33333333 , 4350.76923077 , 3818.46153846 , 3808.20512821 , 4288.71794872 , 4156.41025641 , 4306.66666667 , 1659.0 , 1699.0 , 10.796 , 0.0 , 0.0 , 0.0 , 0.0 , 

48.0 , 3954.87179487 , 4351.28205128 , 4389.74358974 , 4192.30769231 , 4332.82051282 , 4522.05128205 , 4381.02564103 , 4172.82051282 , 4352.30769231 , 3818.46153846 , 3808.71794872 , 4290.76923077 , 4156.92307692 , 4307.17948718 , 1659.0 , 1698.0 , 10.812 , 0.0 , 0.0 , 0.0 , 0.0 , 

49.0 , 3953.33333333 , 4350.76923077 , 4389.23076923 , 4190.76923077 , 4336.92307692 , 4532.82051282 , 4382.56410256 , 4173.33333333 , 4354.35897436 , 3818.46153846 , 3809.23076923 , 4287.69230769 , 4158.46153846 , 4302.56410256 , 1659.0 , 1699.0 , 10.812 , 0.0 , 0.0 , 0.0 , 0.0 , 

50.0 , 3949.23076923 , 4348.71794872 , 4387.69230769 , 4191.28205128 , 4334.87179487 , 4535.38461538 , 4383.58974359 , 4174.35897436 , 4354.87179487 , 3818.46153846 , 3808.71794872 , 4285.64102564 , 4159.48717949 , 4303.07692308 , 1660.0 , 1698.0 , 10.827 , 0.0 , 0.0 , 0.0 , 0.0 , 

51.0 , 3947.69230769 , 4347.17948718 , 4390.25641026 , 4194.35897436 , 4333.33333333 , 4529.74358974 , 4383.58974359 , 4175.8974359 , 4353.33333333 , 3818.46153846 , 3809.23076923 , 4287.69230769 , 4157.43589744 , 4307.69230769 , 1658.0 , 1698.0 , 10.827 , 0.0 , 0.0 , 0.0 , 0.0 , 

52.0 , 3950.76923077 , 4348.20512821 , 4398.97435897 , 4194.87179487 , 4335.8974359 , 4533.33333333 , 4384.1025641 , 4175.8974359 , 4352.82051282 , 3818.46153846 , 3810.76923077 , 4289.74358974 , 4155.38461538 , 4303.58974359 , 1660.0 , 1698.0 , 10.843 , 0.0 , 0.0 , 0.0 , 0.0 , 

53.0 , 3951.28205128 , 4349.23076923 , 4402.56410256 , 4194.35897436 , 4336.41025641 , 4535.38461538 , 4385.64102564 , 4170.76923077 , 4352.30769231 , 3818.46153846 , 3810.25641026 , 4291.79487179 , 4155.8974359 , 4298.97435897 , 1659.0 , 1698.0 , 10.843 , 0.0 , 0.0 , 0.0 , 0.0 , 

54.0 , 3947.69230769 , 4348.20512821 , 4400.51282051 , 4196.41025641 , 4333.84615385 , 4533.33333333 , 4385.12820513 , 4168.20512821 , 4350.25641026 , 3818.46153846 , 3808.71794872 , 4294.35897436 , 4155.8974359 , 4303.07692308 , 1659.0 , 1699.0 , 10.858 , 0.0 , 0.0 , 0.0 , 0.0 , 

55.0 , 3948.20512821 , 4348.20512821 , 4401.53846154 , 4196.41025641 , 4334.35897436 , 4536.41025641 , 4385.12820513 , 4171.28205128 , 4349.23076923 , 3818.46153846 , 3809.23076923 , 4291.79487179 , 4156.41025641 , 4304.61538462 , 1659.0 , 1698.0 , 10.858 , 0.0 , 0.0 , 0.0 , 0.0 , 

56.0 , 3948.71794872 , 4349.23076923 , 4398.46153846 , 4193.33333333 , 4336.41025641 , 4533.84615385 , 4387.17948718 , 4170.76923077 , 4350.25641026 , 3818.46153846 , 3810.25641026 , 4287.17948718 , 4157.43589744 , 4301.53846154 , 1659.0 , 1699.0 , 10.874 , 0.0 , 0.0 , 0.0 , 0.0 , 

57.0 , 3947.69230769 , 4350.76923077 , 4389.23076923 , 4191.79487179 , 4334.35897436 , 4526.66666667 , 4385.12820513 , 4171.79487179 , 4350.76923077 , 3818.46153846 , 3808.71794872 , 4288.20512821 , 4158.97435897 , 4303.58974359 , 1660.0 , 1698.0 , 10.874 , 0.0 , 0.0 , 0.0 , 0.0 , 

58.0 , 3948.20512821 , 4352.82051282 , 4385.12820513 , 4191.28205128 , 4330.76923077 , 4532.30769231 , 4381.53846154 , 4175.8974359 , 4352.82051282 , 3818.46153846 , 3807.17948718 , 4289.23076923 , 4158.46153846 , 4306.66666667 , 1659.0 , 1699.0 , 10.89 , 0.0 , 0.0 , 0.0 , 0.0 , 

